Department Name,Course Code,Course Title,Type,Prerequisites,Theoritical,Practical,Course Credits,ECTS
Psychology Department (in English),CTV 421,Cultural Studies,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),CTV 422,Media as Text,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),CTV 430,Art of Animation,Gen/Coll/Departmental Elective,,2,2,3,5
Psychology Department (in English),CTV 432,Visual Communication and Design,Gen/Coll/Departmental Elective,,2,2,3,5
Psychology Department (in English),CTV 433,Experimantel Film and Video,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),CTV 436,The Way to the Narrative,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),CTV 453,News Reporting and Writing,Gen/Coll/Departmental Elective,,2,2,3,5
Psychology Department (in English),CTV 454,Multimedia Journalism,Gen/Coll/Departmental Elective,,2,2,3,5
Psychology Department (in English),CTV 457,Digital Media and Culture,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),CTV 481,Special Topics in Cinema and Television I,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),CTV 482,Special Topics in Cinema and Television II,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 201,Macroeconomics,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 202,Microeconomics,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 204,Advanced Microeconomics,Gen/Coll/Departmental Elective,"ECON 201, ECON 202",3,0,3,5
Psychology Department (in English),ECON 205,Intermediate Microeconomics,Gen/Coll/Departmental Elective,ECON 202,3,0,3,5
Psychology Department (in English),ECON 206,Intermediate Macroeconomics,Gen/Coll/Departmental Elective,ECON 201,3,0,3,5
Psychology Department (in English),ECON 208,Advanced Macroeconomics,Gen/Coll/Departmental Elective,"ECON 201, ECON 202",3,0,3,5
Psychology Department (in English),ECON 302,Economic Policy,Gen/Coll/Departmental Elective,"ECON 201, ECON 202",3,0,3,5
Psychology Department (in English),ECON 303,Evolution of Economies and Economics,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 305,Economic History of Turkey,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 306,Economic History of Europe,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 307,Behavioral Economics,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 308,World Economy,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 309,Managerial Economics,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 331,Econometrics,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 401,Global Economic Thought,Gen/Coll/Departmental Elective,,3,0,3,7
Psychology Department (in English),ECON 402,Economic History of the Ottoman Empire,Gen/Coll/Departmental Elective,,3,0,3,6
Psychology Department (in English),ECON 403,Turkish Economy,Gen/Coll/Departmental Elective,,3,0,3,7
Psychology Department (in English),ECON 405,Institutional Economics ,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 406,Financial Economics,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 407,Economic Methodology and Philosophy of Economics ,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 408,Growth and Development,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 409,Applied Economic Analysis,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 410,Real Estate Economics and Finance,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 411,Topics in İslamic Economics and Finance,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 413,Analytical Political Economy,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 414,Labor Economics,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ECON 415,Making Better Decisions,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),EE 200,Summer Practice,Gen/Coll/Departmental Elective,,0,0,0,5
Psychology Department (in English),EE 201,Circuit Analysis,Gen/Coll/Departmental Elective,"MATH 206, EECS 201",3,2,4,5
Psychology Department (in English),EE 232,Probability and Stochastic Processes,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),EE 300,Summer Practice,Gen/Coll/Departmental Elective,,0,0,0,5
Psychology Department (in English),EE 302,Microelectronic Circuit Design,Gen/Coll/Departmental Elective,EE 201,3,2,4,5
Psychology Department (in English),EE 311,Introduction to Electronic Devices,Gen/Coll/Departmental Elective,MATH 103,3,0,3,5
Psychology Department (in English),EE 312,Introduction to Communication Systems,Gen/Coll/Departmental Elective,EECS 216,3,0,3,5
Psychology Department (in English),EE 321,Electromagnetics,Gen/Coll/Departmental Elective,"PHYS 104, MATH 206",3,0,3,5
Psychology Department (in English),EE 322,Electromagnetics II,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),EE 324,Control Systems,Gen/Coll/Departmental Elective,"Jenior Year Standing, EECS 216",3,0,3,5
Psychology Department (in English),EE 331,Digital Electronics,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),EE 332,Microprocessors,Gen/Coll/Departmental Elective,EECS 218,3,2,4,5
Psychology Department (in English),EECS 201,System Design Fundamentals,Gen/Coll/Departmental Elective,"Pre-requisite (ENGR 100 or CS 100), ENGR 105",3,2,4,6
Psychology Department (in English),EECS 202,Basic Digital Communication with Networking,Gen/Coll/Departmental Elective,"Pre-requisite (ENGR 100 or CS 100), Pre-requisite (ENGR 100 or CS 100), ENGR 105",3,2,4,6
Psychology Department (in English),EECS 211,Introduction to Programming,Gen/Coll/Departmental Elective,,3,2,3,5
Psychology Department (in English),EECS 214,Unix Operating System,Gen/Coll/Departmental Elective,,1,2,2,4
Psychology Department (in English),EECS 216,Signals and Systems,Gen/Coll/Departmental Elective,"MATH 104, MATH 206",3,0,3,5
Psychology Department (in English),EECS 218,Digital Logic Design,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),EECS 221,Embedded Systems Programming in C,Gen/Coll/Departmental Elective,ENGR 101,3,0,3,5
Psychology Department (in English),EECS 241,Discrete Mathematics,Gen/Coll/Departmental Elective,MATH 103,3,0,3,4
Psychology Department (in English),EECS 244,Differential Equations and Linear Algebra,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),EECS 401,Engineering Practice and Professionalism,Gen/Coll/Departmental Elective,At Least Success 90 Crh,2,0,2,2
Psychology Department (in English),EECS 402,Entrepreneurship,Gen/Coll/Departmental Elective,At Least Success 90 Crh,2,0,3,5
Psychology Department (in English),EECS 403,Digital Circuit Design,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 404,Communication Circuits,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 405,RF Circuit Design,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 407,Advanced Integrated Analog Circuit Design,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 413,Wireless Communications,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 415,Digital Signal Processing,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 416,Image and Video Processing,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 417,Digital Communication,Gen/Coll/Departmental Elective,At Least Success 90 Crh,0,0,3,5
Psychology Department (in English),EECS 418,Information Theory,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 420,Software Based Startups,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 421,Antennas and Propagations,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 423,Optics,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 424,Photonics and Lasers,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 428,Data Visualization,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 429,Multimedia,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 432,Mobile Programming,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 441,Nano and Micro Electro Mechanical System,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 451,Database Systems,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 456,Principles of Computer Systems,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 457,Performance Engineering of Software Systems,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 461,Machine Learning,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 462,"Automata Theory, Languages and Computation",Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 464,Computer Vision,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 465,Introduction to Robotics,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 466,Enterprise Software Development,Gen/Coll/Departmental Elective,At Least Success 90 Crh,0,0,3,5
Psychology Department (in English),EECS 468,Bioinformatics,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 471,Distributed Algorithms,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 474,Networks,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 476,Advanced Computer Networks,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 481,Cryptography,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 482,Cryptographic Engineering,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 483,Network Security,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),EECS 486,Computational Genomics,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),ENGR 101,Introduction to Programming,Gen/Coll/Departmental Elective,,2,2,3,5
Psychology Department (in English),ENGR 102,Programming Practice,Gen/Coll/Departmental Elective,ENGR 101,2,2,3,5
Psychology Department (in English),ENGR 105,Introduction to Engineering,Gen/Coll/Departmental Elective,,0,2,1,2
Psychology Department (in English),ENGR 244,Engineering Materials,Gen/Coll/Departmental Elective,"PHYS 104, ENGR 100",3,0,3,5
Psychology Department (in English),ENGR 246,Manufacturing Processes,Gen/Coll/Departmental Elective,ENGR 244,3,0,3,5
Psychology Department (in English),ENGR 251,Probability for Engineers,Gen/Coll/Departmental Elective,"MATH 104, ENGR 105",2,2,3,5
Psychology Department (in English),ENGR 252,Statistics for Engineers,Gen/Coll/Departmental Elective,successfully complete one of the courses (ENGR 251 or MGT 205),2,2,3,5
Psychology Department (in English),ENGR 313,Scientific Computing,Gen/Coll/Departmental Elective,,3,2,4,6
Psychology Department (in English),ENGR 314,Database Management,Gen/Coll/Departmental Elective,,2,2,3,5
Psychology Department (in English),ENGR 422,Numerical Methods,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ENGR 461,Computer Aided Engineering (CAE),Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ENGR 497,Global Design Project I Analysis,Gen/Coll/Departmental Elective,At Least Success 90 Crh,1,2,2,10
Psychology Department (in English),ENGR 498,Global Design Project II Synthesis,Gen/Coll/Departmental Elective,"At Least Success 90 Crh, ENGR 497",1,2,2,10
Psychology Department (in English),FRE 101,French I,Gen/Coll/Departmental Elective,,0,0,3,5
Psychology Department (in English),FRE 102,French II,Gen/Coll/Departmental Elective,,0,0,3,5
Psychology Department (in English),FRE 201,French III,Gen/Coll/Departmental Elective,,0,0,3,5
Psychology Department (in English),FRE 202,French IV,Gen/Coll/Departmental Elective,,0,0,3,5
Psychology Department (in English),GER 101,German I,Gen/Coll/Departmental Elective,,0,0,3,5
Psychology Department (in English),GER 102,German II,Gen/Coll/Departmental Elective,,0,0,3,5
Psychology Department (in English),GER 201,German III,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),GER 202,German IV,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),GRE 101,Greek,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),GRE 102,Greek II,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 201,Historical Methodology,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 202,Ottoman History: Beylik to Empire,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 203,Early Islamic History,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 204,Muslim Empires: A Concise History,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 205,Mediterranean History,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 206,History of Central Eurasia and Turkic Peoples,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 207,Ottoman Turkish I,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 208,Ottoman Turkish II,Gen/Coll/Departmental Elective,HIST 207,3,0,3,5
Psychology Department (in English),HIST 209,Seljuk History,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 301,Statistics for Social Sciences,Gen/Coll/Departmental Elective,,2,2,4,7
Psychology Department (in English),HIST 302,Research Methods,Gen/Coll/Departmental Elective,,3,0,3,7
Psychology Department (in English),HIST 303,Classical Ottoman History,Gen/Coll/Departmental Elective,,3,0,3,6
Psychology Department (in English),HIST 304,Late Ottoman History,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 305,History of Medieval Europe,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 306,History of Modern Europe,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 307,Ottoman Paleography,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 308,Ottoman Diplomatica,Gen/Coll/Departmental Elective,HIST 307,3,0,3,5
Psychology Department (in English),HIST 310,Black Sea History,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 311,Ottoman Urban History,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 312,Istanbul in History,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 313,History of Islamic Civilization,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 314,History of Muslim Spain,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 315,History of the Mamluks,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 316,History of Art and Architecture,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 317,History of Science,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 318,Byzantine History,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 319,History of the Crusades,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 320,History of Colonialism,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 401,Historiography: Ancient to Modern,Gen/Coll/Departmental Elective,,3,0,3,7
Psychology Department (in English),HIST 402,Contemporary Historiography,Gen/Coll/Departmental Elective,,3,0,3,7
Psychology Department (in English),HIST 403,Arab Lands in the Ottoman Era,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 404,Contemporary Middle East,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 405,Historical Geography,Gen/Coll/Departmental Elective,,3,0,3,7
Psychology Department (in English),HIST 406,Senior Project,Gen/Coll/Departmental Elective,,3,0,3,9
Psychology Department (in English),HIST 407,History and Archaeology,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 411,History of Muslim Institutions,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 412,History of the Balkans,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 413,History of Americas to 1876,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 414,History of Africa,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 415,Economic History,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 416,History of the Russian Empire,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 417,History of Imperial China: Tradition and Transformation,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 418,History of India,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 419,Biography and History,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 420,History of Religions,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 421,Readings in History,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 422,Rise and Fall of Atlantic Slavery,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 423,Environmental History,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 424,History of Classical Islamic Denominations,Gen/Coll/Departmental Elective,,0,0,3,6
Psychology Department (in English),HIST 426,The Mongol World Empire,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),HIST 444,"Psychology, History and Memory",Gen/Coll/Departmental Elective,,3,0,3,6
Psychology Department (in English),HIST 495,Internship in History,Gen/Coll/Departmental Elective,,0,0,0,6
Psychology Department (in English),HUK 308,Criminal Law (Special Provisions),Gen/Coll/Departmental Elective,,2,2,3,4
Psychology Department (in English),HUK 310,Administrative Procedure Law,Gen/Coll/Departmental Elective,,3,0,3,3
Psychology Department (in English),HUK 312,Turkish Legal History II,Gen/Coll/Departmental Elective,,2,0,2,4
Psychology Department (in English),HUK 313,Tender Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),HUK 314,Zoning Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),HUK 328,Information and Technology Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),HUK 402,Law of Execution and Bankruptcy II,Gen/Coll/Departmental Elective,,2,2,3,5
Psychology Department (in English),HUK 404,Tax Law,Gen/Coll/Departmental Elective,,3,0,3,4
Psychology Department (in English),HUK 406,Labor and Social Security Law II,Gen/Coll/Departmental Elective,,3,0,3,4
Psychology Department (in English),HUK 408,Law of Criminal Procedure II,Gen/Coll/Departmental Elective,,2,2,3,5
Psychology Department (in English),HUK 410,Maritime Commercial Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),HUK 414,Islamic Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),HUK 417,Procedure of Judicial Correspondence,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),HUK 418,Industrial Property Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),HUK 419,Energy Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),HUK 420,Health Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),HUK 422,Notification Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),HUK 424,Forensic Medicine,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),IE 200,Summer Practice,Gen/Coll/Departmental Elective,,0,0,0,5
Psychology Department (in English),IE 300,Summer Practice,Gen/Coll/Departmental Elective,,0,0,0,5
Psychology Department (in English),IE 316,Engineering Economics,Gen/Coll/Departmental Elective,successfully complete one of the courses (ENGR 252 or MGT 206),2,2,3,5
Psychology Department (in English),IE 321,Deterministic Models in OR,Gen/Coll/Departmental Elective,MATH 205,2,2,3,5
Psychology Department (in English),IE 322,Stochastic Models in OR,Gen/Coll/Departmental Elective,IE 321,2,2,3,5
Psychology Department (in English),IE 324,Simulation,Gen/Coll/Departmental Elective,successfully complete one of the courses (ENGR 251 or MGT 205),2,2,3,5
Psychology Department (in English),IE 333,Quality Engineering and Reliability,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),IE 344,Design and Analysis of Manufacturing Systems,Gen/Coll/Departmental Elective,IE 321,2,2,3,5
Psychology Department (in English),IE 371,Ergonomics,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),IE 426,Nonlinear Programming,Gen/Coll/Departmental Elective,At Least Success 90 Crh,2,2,3,5
Psychology Department (in English),IE 427,Graph Theory,Gen/Coll/Departmental Elective,At Least Success 90 Crh,0,0,3,5
Psychology Department (in English),IE 434,Data Mining,Gen/Coll/Departmental Elective,At Least Success 90 Crh,0,0,3,5
Psychology Department (in English),IE 435,Forecasting and Time Series,Gen/Coll/Departmental Elective,At Least Success 90 Crh,0,0,3,5
Psychology Department (in English),IE 438,Design of Experiments,Gen/Coll/Departmental Elective,At Least Success 90 Crh,0,0,3,5
Psychology Department (in English),IE 442,Advanced Materials Science for Engineers,Gen/Coll/Departmental Elective,At Least Success 90 Crh,0,0,3,5
Psychology Department (in English),IE 448,Product Design and Innovation,Gen/Coll/Departmental Elective,At Least Success 90 Crh,0,0,3,5
Psychology Department (in English),IE 451,Project Management,Gen/Coll/Departmental Elective,Jenior Year Standing,2,2,3,5
Psychology Department (in English),IE 452,Stochastic Processes and Queueing,Gen/Coll/Departmental Elective,At Least Success 90 Crh,0,0,3,5
Psychology Department (in English),IE 458,Scheduling and Sequencing,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),IE 463,Finance for Engineers,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),IE 488,Agile Methods,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),IE 493,Seminars in Industrial Engineering,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),IE 494,Special Topics in Industrial Engineering,Gen/Coll/Departmental Elective,At Least Success 90 Crh,3,0,3,5
Psychology Department (in English),ISS 103,Arabic Language I,Gen/Coll/Departmental Elective,,2,8,6,7
Psychology Department (in English),ISS 104,Arabic Language II,Gen/Coll/Departmental Elective,ISS 103,2,8,5,5
Psychology Department (in English),ISS 106,Turkish Islamic Literature,Gen/Coll/Departmental Elective,,2,0,2,2
Psychology Department (in English),ISS 108,Preaching and Vocational Internship,Gen/Coll/Departmental Elective,,0,2,1,2
Psychology Department (in English),ISS 181,H:el-Medhal ile'n-Nususi't-Turasiye,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 182,H:Edebu'z-Zühd ve'r-Rekaik,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 183,H:el-Maksud fi's-Sarf,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 184,H:et-Tuhfetu's-Seniyye,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 201,Practice of The Noble Qur'an Memorization,Gen/Coll/Departmental Elective,,2,1,2,4
Psychology Department (in English),ISS 203,Introdcution to Ulum al-Quran and Tafseer,Gen/Coll/Departmental Elective,"ISS 103, UNI 123",2,1,3,5
Psychology Department (in English),ISS 204,Fiqh of Worship,Gen/Coll/Departmental Elective,"ISS 103, UNI 123",2,2,2,4
Psychology Department (in English),ISS 205,Mustalah al-Haidth (Hadith Terminologies) and its History,Gen/Coll/Departmental Elective,"ISS 103, UNI 123",2,2,3,4
Psychology Department (in English),ISS 206,Introduction to the Studies of Usul al-Fiqh (Islamic Jurisprudance),Gen/Coll/Departmental Elective,"UNI 123, ISS 103",2,0,2,3
Psychology Department (in English),ISS 207,Introduction to Islamic Theology,Gen/Coll/Departmental Elective,"UNI 123, ISS 103",2,0,2,2
Psychology Department (in English),ISS 208,History of Islamic Thought: Early Period,Gen/Coll/Departmental Elective,"UNI 123, ISS 103",3,0,3,4
Psychology Department (in English),ISS 210,History of Islamic Denominations,Gen/Coll/Departmental Elective,UNI 124,2,0,3,4
Psychology Department (in English),ISS 212,History of Islam: 13-20th Centuries,Gen/Coll/Departmental Elective,UNI 124,2,2,3,4
Psychology Department (in English),ISS 216,History of Philosophy,Gen/Coll/Departmental Elective,UNI 124,2,0,2,4
Psychology Department (in English),ISS 251,Islamic History: 7th-13th Centuries,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ISS 252,Islamic History: 13th-20th Centuries,Gen/Coll/Departmental Elective,,3,2,3,5
Psychology Department (in English),ISS 275,Denominations and Religious Movements in the Muslim World,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ISS 276,Introduction to Islamic Law (Fiqh),Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ISS 280,Introduction to Islamic Studies,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ISS 281,H:el-Kıraa fi'I-Edebi'l-Muasir,Gen/Coll/Departmental Elective,,3,0,3,4
Psychology Department (in English),ISS 282,H:et-Takrib li'n-Nevevi,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 283,Arabic Grammer book by Muhammad Birgvi,Gen/Coll/Departmental Elective,,4,0,4,6
Psychology Department (in English),ISS 284,H:izharu'l-Esrar li'I-Birgivi: Mamulat ve irab,Gen/Coll/Departmental Elective,,4,0,4,6
Psychology Department (in English),ISS 285,H:el-Emali fi'I-Akide,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 286,H:Klasik Mantık ve Münazara,Gen/Coll/Departmental Elective,,3,0,3,4
Psychology Department (in English),ISS 303,Major Themes in The Noble Qur'an,Gen/Coll/Departmental Elective,"ISS 104, UNI 124",3,0,3,5
Psychology Department (in English),ISS 304,Basic Qur’anic Concepts,Gen/Coll/Departmental Elective,ISS 104,3,0,3,4
Psychology Department (in English),ISS 305,The Fiqh of Personal Status Law,Gen/Coll/Departmental Elective,"ISS 104, UNI 124",3,2,4,4
Psychology Department (in English),ISS 306,Usul al-Fiqh: Legal Evidence (Daleel),Gen/Coll/Departmental Elective,"UNI 124, ISS 104",2,1,2,4
Psychology Department (in English),ISS 307,Hadith: The Nine Books of The Hadith,Gen/Coll/Departmental Elective,"UNI 124, ISS 104",2,3,3,4
Psychology Department (in English),ISS 308,The Fiqh of Transactions,Gen/Coll/Departmental Elective,"ISS 104, UNI 124",3,2,4,4
Psychology Department (in English),ISS 309,Major Themes in Claasical Islamic Theology,Gen/Coll/Departmental Elective,"UNI 124, ISS 104",2,0,2,3
Psychology Department (in English),ISS 310,Main hadith books before the fifth century,Gen/Coll/Departmental Elective,"UNI 124, ISS 104",2,3,3,4
Psychology Department (in English),ISS 312,History of Islamic Thought: From the time of Razi to Modernity,Gen/Coll/Departmental Elective,"ISS 104, UNI 124",2,0,2,3
Psychology Department (in English),ISS 314,History of Islamic Arts,Gen/Coll/Departmental Elective,UNI 123,1,0,1,2
